country,development_index,life_expect,life_exp60,basic_water,gdp_per_capita,eco_footprint,pf_rol,ef_legal,adult_mortality,infant_mort,age1-4mort,happiness_score
Trinidad and Tobago,0.77,71.81485,19.57673,98.18496,18310.8,7.92,4.731368885,4.542519459,171.8307,0.0169549999999999,0.00052,6.168
Uruguay,0.79,77.06158,22.29529,99.32289,14238.1,2.91,6.641640406,5.362794124,113.9388,0.01175,0.000565,6.545
Mexico,0.75,76.56378000000001,22.30824,98.88368,10123.9,2.89,3.922635286,4.127169241,126.6144,0.01249,0.0005099999999999,6.778
Nicaragua,0.63,75.48499,22.78766,81.50474,1626.85,1.39,3.767066422,4.450667177,145.8617,0.017305,0.000745,5.992
Panama,0.77,78.02985,23.99669,95.97945,8410.77,2.79,4.385538748,5.241776593,110.9972,0.0141,0.00058,6.701
Peru,0.73,75.86007,21.63352,90.58557,5684.73,2.28,4.715843781,4.765645671,124.0595,0.011885,0.000865,5.743
Guatemala,0.62,73.22707,21.32992,93.72089,3233.8,1.89,3.98767717,4.382490053,161.6523,0.02369,0.00118,6.324
Honduras,0.61,75.17304,22.39087,94.28603,2269.51,1.68,3.194722841,3.435269824,145.0679,0.01652,0.0007,4.871
Haiti,0.48,63.5098,17.68188,65.02301999999999,749.13,0.61,3.582253733,2.500470609,243.4574,0.053515,0.0043549999999999,4.028
Jamaica,0.72,76.00214,22.49724,90.61792,5226.3,1.89,5.403823101,5.07420081,131.3541,0.0152699999999999,0.000625,5.51
